word,meaning,furigana,romaji,level
あくどい,1.  gaudy; showy; excessive; 2.  vicious,,akudoi,N1
待ち合わせ,appointment,まちあわせ,machiawase,N1
中毒,poisoning,ちゅうどく,chūdoku,N1
デッサン,(fr:) (n) rough sketch (fr: dessin),,dessan,N1
区間,section (of track  etc),くかん,kukan,N1
尚,furthermore; still; yet; more; still more; greater; further; less,なお,nao,N1
暗算,mental arithmetic,あんざん,anzan,N1
起源,origin; beginning; rise,きげん,kigen,N1
溢れる,to flood; to overflow; to brim over,あふれる,afureru,N1
出題,proposing a question,しゅつだい,shutsudai,N1
弱まる,to abate; to weaken; to be emaciated; to be dejected; to be perplexed,よわまる,yowamaru,N1
看護,nursing; (army) nurse,かんご,kango,N1
慣らす,to accustom,ならす,narasu,N1
区々,1.  several; various; divergent; conflicting; different; diverse; 2.  trivial,まちまち,machimachi,N1
略奪,pillage; plunder; looting; robbery,りゃくだつ,ryakudatsu,N1
治安,public order,ちあん,chian,N1
自覚,self-conscious,じかく,jikaku,N1
癌,cancer,がん,gan,N1
代わる,to take the place of; to relieve; to be substituted for; to be exchanged; to change places with; to take,かわる,kawaru,N1
レントゲン,X-ray (lit: Roentgen),,rentogen,N1
インフォメーション,information,,infomēshon,N1
産出,yield; produce,さんしゅつ,sanshutsu,N1
ミュージック,music,,my-jikku,N1
原文,the text; original,げんぶん,genbun,N1
システム,system,,shisutemu,N1
ニュアンス,nuance,,nyuansu,N1
次いで,next; secondly; subsequently,ついで,tsuide,N1
荒らす,to lay waste; to devastate; to damage; to invade; to break into,あらす,arasu,N1
吟味,testing; scrutiny; careful investigation,ぎんみ,ginmi,N1
嘴,beak; bill,くちばし,kuchibashi,N1
費やす,to spend; to devote; to waste,ついやす,tsuiyasu,N1
裸足,barefoot,はだし,hadashi,N1
可愛い,pretty; cute; lovely; charming; dear; darling; pet,かわいい,kawaii,N1
与党,government party; (ruling) party in power; government,よとう,yotō,N1
セクション,section,,sekushon,N1
降水,rainfall; precipitation,こうすい,kōsui,N1
不明,unknown; obscure; indistinct; uncertain; ambiguous; ignorant; lack of wisdom; anonymous; unidentified,ふめい,fumei,N1
例,instance; example; case; precedent; experience; custom; usage; parallel; illustration,ためし,tameshi,N1
問い合わせる,to enquire; to seek information,といあわせる,toiawaseru,N1
前もって,in advance; beforehand; previously,まえもって,maemotte,N1
お祖父さん,grandfather; male senior-citizen,おじいさん,ojiisan,N1
還元,resolution; reduction; return to origins,かんげん,kangen,N1
群がる,to swarm; to gather,むらがる,muragaru,N1
仕上げる,to finish up; to complete,しあげる,shiageru,N1
改良,improvement; reform,かいりょう,kairyō,N1
到底,(cannot) possibly,とうてい,tōtei,N1
コンタクト,contact; contact lens,,kontakuto,N1
デコレーション,decoration,,dekorēshon,N1
中和,neutralize; counteract,ちゅうわ,chūwa,N1
及び,and; as well as,および,oyobi,N1
観覧,viewing,かんらん,kanran,N1
単調,monotony; monotone; dullness,たんちょう,tanchō,N1
俄か,sudden; abrupt; unexpected; improvised; offhand,にわか,niwaka,N1
コンテスト,contest,,kontesuto,N1
赤字,deficit; go in the red,あかじ,akaji,N1
迅速,quick; fast; rapid; swift; prompt,じんそく,jinsoku,N1
仕舞う,to finish; to close; to do something completely; to put away; to put an end to,しまう,shimau,N1
同等,equality; equal; same rights; same rank,どうとう,dōtō,N1
矢っ張り,also; as I thought; still; in spite of; absolutely,やっぱり,yappari,N1
関与,participation; taking part in; participating in; being concerned in,かんよ,kan'yo,N1
画期,epoch-making,かっき,kakki,N1
ご無沙汰,not writing or contacting for a while,ごぶさた,gobusata,N1
成るべく,as much as possible,なるべく,narubeku,N1
興業,industrial enterprise,こうぎょう,kōgyō,N1
主食,staple food,しゅしょく,shushoku,N1
未知,not yet known,みち,michi,N1
雪崩,avalanche,なだれ,nadare,N1
覆す,to overturn; to upset; to overthrow; to undermine,くつがえす,kutsugaesu,N1
鈍る,to become less capable; to grow dull; to become blunt; to weaken,なまる,namaru,N1
心細い,helpless; forlorn; hopeless; unpromising; lonely; discouraging; disheartening,こころぼそい,kokorobosoi,N1
未練,lingering affection; attachment; regret(s); reluctance,みれん,miren,N1
仕付ける,to be used to a job; to begin to do; to baste; to tack; to plant,しつける,shitsukeru,N1
園,garden (esp. man-made),えん,en,N1
見積り,estimation; quotation,みつもり,mitsumori,N1
卯,fourth sign of Chinese zodiac (The Hare  5am-7am  east  February),ぼう,bō,N1
棄権,abstain from voting; renunciation of a right,きけん,kiken,N1
安っぽい,cheap-looking; tawdry; insignificant,やすっぽい,yasuppoi,N1
がっくり,heartbroken,,gakkuri,N1
捕鯨,whaling; whale fishing,ほげい,hogei,N1
色彩,colour; hue; tints,しきさい,shikisai,N1
暴力,violence,ぼうりょく,bōryoku,N1
心掛ける,to bear in mind; to aim to do,こころがける,kokorogakeru,N1
嘘つき,liar (sometimes said with not much seriousness); fibber,うそつき,usotsuki,N1
殺人,murder,さつじん,satsujin,N1
嚏,sneeze,くしゃみ,kushami,N1
元年,first year (of a specific reign),がんねん,gannen,N1
一気,drink!(said repeatedly as a party cheer),いっき,ikki,N1
採掘,mining,さいくつ,saikutsu,N1
起こす,to raise; to cause; to wake someone,おこす,okosu,N1
神殿,temple; sacred place,しんでん,shinden,N1
賄う,to give board to; to provide meals; to pay,まかなう,makanau,N1
何だか,a little; somewhat; somehow,なんだか,nandaka,N1
要因,primary factor; main cause,よういん,yōin,N1
告白,confession; acknowledgement,こくはく,kokuhaku,N1
空腹,hunger,くうふく,kūfuku,N1
上司,superior authorities; boss,じょうし,jōshi,N1
聖書,Bible; scriptures,せいしょ,seisho,N1
工作,work; construction; handicraft; maneuvering,こうさく,kōsaku,N1
採決,vote; roll call,さいけつ,saiketsu,N1
連邦,commonwealth; federation of states,れんぽう,renpō,N1
分散,dispersion; decentralization; variance (statistics),ぶんさん,bunsan,N1
中断,interruption; suspension; break,ちゅうだん,chūdan,N1
飼育,breeding; raising; rearing,しいく,shiiku,N1
あべこべ,contrary; opposite; inverse,,abekobe,N1
亜科,suborder; subfamily,あか,aka,N1
百科事典,encyclopedia,ひゃっかじてん,hyakkajiten,N1
基,basis,もとい,motoi,N1
断言,declaration; affirmation,だんげん,dangen,N1
安静,rest,あんせい,ansei,N1
地元,local,じもと,jimoto,N1
円満,perfection; harmony; peace; smoothness; completeness; satisfaction; integrity,えんまん,enman,N1
間柄,relation(ship),あいだがら,aidagara,N1
欠乏,want; shortage; famine,けつぼう,ketsubō,N1
気風,character; traits; ethos,きふう,kifū,N1
同封,enclosure (e.g. in a letter),どうふう,dōfū,N1
臍,navel; belly-button,へそ,heso,N1
治療,medical treatment,ちりょう,chiryō,N1
ローマ字,romanization; Roman letters,ローマじ,rōmaji,N1
火傷,burn; scald,かしょう,kashō,N1
弁論,discussion; debate; argument,べんろん,benron,N1
慣れ,practice; experience,なれ,nare,N1
商,quotient,しょう,shō,N1
民族,people; race; nation; racial customs; folk customs,みんぞく,minzoku,N1
ノイローゼ,(de:) (n) neurosis (de: Neurose),,noirōze,N1
生やす,to grow; to cultivate; to wear beard,はやす,hayasu,N1
知的,intellectual,ちてき,chiteki,N1
審議,deliberation,しんぎ,shingi,N1
片付け,tidying up; finishing,かたづけ,katazuke,N1
アプローチ,approach (in golf),,apurōchi,N1
沿い,along,ぞい,zoi,N1
取材,choice of subject; collecting data,しゅざい,shuzai,N1
消去,elimination; erasing; dying out; melting away,しょうきょ,shōkyo,N1
物資,goods; materials,ぶっし,busshi,N1
あざ笑う,to sneer at; to ridicule,あざわらう,azawarau,N1
インターフォン,intercom,,intāfon,N1
映写,projection,えいしゃ,eisha,N1
独占,monopoly,どくせん,dokusen,N1
様相,aspect,ようそう,yōsō,N1
失調,lack of harmony,しっちょう,shitchō,N1
天,heavenly; imperial,あまつ,amatsu,N1
操る,to manipulate; to operate; to pull strings,あやつる,ayatsuru,N1
総会,general meeting,そうかい,sōkai,N1
状,shape,じょう,jō,N1
旅客,passenger (transport),りょかく,ryokaku,N1
据え付ける,to install; to equip; to mount,すえつける,suetsukeru,N1
辞退,refusal,じたい,jitai,N1
満場,unanimous; whole audience,まんじょう,manjō,N1
発足,starting; inauguration,はっそく,hassoku,N1
僕,manservant; servant (of God),しもべ,shimobe,N1
時刻表,table; diagram; chart; timetable; schedule,じこくひょう,jikokuhyō,N1
蓄積,accumulation; accumulate; store,ちくせき,chikuseki,N1
一向,earnestly,ひたすら,hitasura,N1
月日,(the) date,がっぴ,gappi,N1
煙たい,smoky; feeling awkward,けむたい,kemutai,N1
落ち葉,fallen leaves; leaf litter; defoliation; shedding leaves,おちば,ochiba,N1
航海,sail; voyage,こうかい,kōkai,N1
通常,common; general; usually,つうじょう,tsūjō,N1
論理,logic,ろんり,ronri,N1
推測,guess; conjecture,すいそく,suisoku,N1
交わす,to exchange (messages); to dodge; to parry; to avoid; to turn aside,かわす,kawasu,N1
取り替え,swap; exchange,とりかえ,torikae,N1
幹,(tree) trunk,かん,kan,N1
定まる,to become settled; to be fixed,さだまる,sadamaru,N1
モニター,(computer) monitor,,monitā,N1
擦る,to touch lightly; to take a percentage (from),かする,kasuru,N1
自ずから,naturally; as a matter of course,おのずから,onozukara,N1
未だ,as yet; hitherto; not yet (neg),いまだ,imada,N1
霞む,to grow hazy; to be misty,かすむ,kasumu,N1
枚,counter for flat objects (e.g. sheets of paper),まい,mai,N1
賃金,wages,ちんぎん,chingin,N1
綴じる,to bind; to file,とじる,tojiru,N1
近々,nearness; before long,きんきん,kinkin,N1
襲撃,attack; charge; raid,しゅうげき,shūgeki,N1
統制,regulation; control,とうせい,tōsei,N1
踵,(shoe) heel,かかと,kakato,N1
きっちり,precisely; tightly,,kitchiri,N1
返還,return; restoration,へんかん,henkan,N1
ユニーク,unique,,yunīku,N1
同級,the same grade; same class,どうきゅう,dōkyū,N1
理屈,theory; reason,りくつ,rikutsu,N1
漁村,fishing village,ぎょそん,gyoson,N1
瓶,earthenware pot,かめ,kame,N1
意気込む,to be enthusiastic about,いきごむ,ikigomu,N1
満たす,to satisfy; to ingratiate; to fill; to fulfill,みたす,mitasu,N1
年頃,age; marriageable age; age of puberty; adolescence; for some years,としごろ,toshigoro,N1
坊ちゃん,son (of others),ぼっちゃん,botchan,N1
液,liquid; fluid,えき,eki,N1
煽てる,to stir up; to instigate; to flatter,おだてる,odateru,N1
団結,unity; union; combination,だんけつ,danketsu,N1
面,face,おも,omo,N1
怒る,to get angry; to be angry,いかる,ikaru,N1
軋む,to jar; to creak; to grate,きしむ,kishimu,N1
着手,embarkation; launch,ちゃくしゅ,chakushu,N1
気品,aroma,きひん,kihin,N1
勤勉,industry; diligence,きんべん,kinben,N1
質疑,question,しつぎ,shitsugi,N1
何方,which; who,どちら,dochira,N1
同,the same; the said; ibid.,どう,dō,N1
住,dwelling; living,じゅう,jū,N1
麻酔,anaesthesia,ますい,masui,N1
噴出,spewing; gushing; spouting; eruption; effusion,ふんしゅつ,funshutsu,N1
ぐっと,firmly; fast; much; more,,gutto,N1
逃す,to let loose; to set free; to let escape,のがす,nogasu,N1
誰,adjectival suffix for a person,たれ,tare,N1
ガレージ,garage (at house),,garēji,N1
消息,news; letter; circumstances,しょうそく,shōsoku,N1
歯科,dentistry,しか,shika,N1
退く,to retreat; to recede; to withdraw,しりぞく,shirizoku,N1
雫,drop (of water),しずく,shizuku,N1
感触,sense of touch; feeling; sensation,かんしょく,kanshoku,N1
秘書,(private) secretary,ひしょ,hisho,N1
平たい,flat; even; level; simple; plain,ひらたい,hiratai,N1
恐れ,fear; horror,おそれ,osore,N1
てっきり,surely; certainly; beyond doubt,,tekkiri,N1
季刊,quarterly (e.g. magazine),きかん,kikan,N1
転任,change of post,てんにん,tennin,N1
条約,treaty; pact,じょうやく,jōyaku,N1
結成,formation,けっせい,kessei,N1
孤独,isolation; loneliness; solitude,こどく,kodoku,N1
悲鳴,shriek; scream,ひめい,himei,N1
補強,compensation; reinforcement,ほきょう,hokyō,N1
同情,sympathy; compassion; sympathize; pity; feel for,どうじょう,dōjō,N1
在庫,stockpile; stock,ざいこ,zaiko,N1
若しかすると,perhaps; maybe; by some chance,もしかすると,moshikasuruto,N1
再会,another meeting; meeting again; reunion,さいかい,saikai,N1
煌々と,brilliantly; brightly,こうこうと,kōkōto,N1
灰,puckery juice,あく,aku,N1
潤う,to be moist; to be damp; to get wet; to profit by; to be watered; to receive benefits; to favor; to charm; t,うるおう,uruō,N1
可哀想,poor; pitiable; pathetic,かわいそう,kawaisō,N1
外相,Foreign Minister,がいしょう,gaishō,N1
詫び,apology,わび,wabi,N1
害する,to injure; to damage; to harm; to kill; to hinder,がいする,gaisuru,N1
しぶとい,tenacious; stubborn,,shibutoi,N1
是正,correction; revision,ぜせい,zesei,N1
圧迫,pressure; coercion; oppression,あっぱく,appaku,N1
剥がす,to tear off; to peel off; to rip off; to strip off; to skin; to flay; to disrobe; to deprive of; to detach; t,はがす,hagasu,N1
化繊,synthetic fibres,かせん,kasen,N1
畜産,animal husbandry,ちくさん,chikusan,N1
ダウン,down,,daun,N1
利根,intelligence,りこん,rikon,N1
先天的,a priori; inborn; innate; inherent; congenital; hereditary,せんてんてき,sententeki,N1
有機,organic,ゆうき,yūki,N1
職員,staff member; personnel,しょくいん,shokuin,N1
制する,to control; to command; to get the better of,せいする,seisuru,N1
無論,of course; naturally,むろん,muron,N1
お先に,before; ahead; previously,おさきに,osakini,N1
怒り,anger; hatred,いかり,ikari,N1
末,top end; tip,うら,ura,N1
活発,vigor; active,かっぱつ,kappatsu,N1
相,together; mutually; fellow,あい,ai,N1
予想,expectation; anticipation; prediction; forecast,よそう,yosō,N1
経費,expenses; cost; outlay,けいひ,keihi,N1
顧みる,to look back; to turn around; to review,かえりみる,kaerimiru,N1
一心,one mind; wholeheartedness; the whole heart,いっしん,isshin,N1
極めて,exceedingly; extremely,きわめて,kiwamete,N1
混む,to be crowded,こむ,komu,N1
第一,first; foremost; # 1,だいいち,daiichi,N1
鞠,ball,まり,mari,N1
軍備,armaments; military preparations,ぐんび,gunbi,N1
毎,each respectively,ごと,goto,N1
トランジスター,transistor,,toranjisutā,N1
対して,for; in regard to; per,たいして,taishite,N1
聴覚,the sense of hearing,ちょうかく,chōkaku,N1
励ます,to encourage; to cheer; to raise (the voice),はげます,hagemasu,N1
窮屈,narrow; tight; stiff; rigid; uneasy; formal; constrained,きゅうくつ,kyūkutsu,N1
接ぐ,to join; to piece together; to set (bones); to graft (trees),つぐ,tsugu,N1
残高,(bank) balance; remainder,ざんだか,zandaka,N1
損なう,to harm; to hurt; to injure; to damage; to fail in doing,そこなう,sokonau,N1
其れでも,but (still); and yet; nevertheless; even so; notwithstanding,それでも,soredemo,N1
助詞,particle; postposition,じょし,joshi,N1
明朗,bright; clear; cheerful,めいろう,meirō,N1
思考,thought,しこう,shikō,N1
根気,patience; perseverance; energy,こんき,konki,N1
旧知,old friend; old friendship,きゅうち,kyūchi,N1
窮乏,poverty,きゅうぼう,kyūbō,N1
団扇,fan,うちわ,uchiwa,N1
印,seal; stamp; mark; print,いん,in,N1
丁目,district of a town; city block (of irregular size),ちょうめ,chōme,N1
平常,normal; usual,へいじょう,heijō,N1
粉々,in very small pieces,こなごな,konagona,N1
企画,planning; project,きかく,kikaku,N1
確立,establishment,かくりつ,kakuritsu,N1
素敵,lovely; dreamy; beautiful; great; fantastic; superb; cool; capital,すてき,suteki,N1
定める,to decide; to establish; to determine,さだめる,sadameru,N1
慣例,custom; precedent; of convention,かんれい,kanrei,N1
尾,tail; ridge,お,o,N1
瞬き,wink; twinkling (of stars); flicker (of light),またたき,matataki,N1
妥結,agreement,だけつ,daketsu,N1
詰る,to rebuke; to scold; to tell off,なじる,najiru,N1
武力,armed might; military power; the sword; force,ぶりょく,buryoku,N1
廃止,abolition; repeal,はいし,haishi,N1
雷,thunder,いかずち,ikazuchi,N1
岩石,rock,がんせき,ganseki,N1
乾,heaven; emperor,かん,kan,N1
獣,beast; brute,けだもの,kedamono,N1
慣習,usual (historical) custom,かんしゅう,kanshū,N1
禁じる,to prohibit,きんじる,kinjiru,N1
東,east; Eastern Japan,あずま,azuma,N1
檻,cage; pen; jail cell,おり,ori,N1
罵る,to speak ill of; to abuse,ののしる,nonoshiru,N1
ややこしい,puzzling; tangled; complicated; complex,,yayakoshii,N1
軸,axis; stem; shaft; axle,じく,jiku,N1
目録,catalogue; catalog; list,もくろく,mokuroku,N1
成り立つ,to conclude; to consist of; to be practical (logical  feasible  viable); to hold true,なりたつ,naritatsu,N1
故,the late (deceased),こ,ko,N1
クラブ,club; crab,,kurabu,N1
圧力,stress; pressure,あつりょく,atsuryoku,N1
駄作,poor work; rubbish,ださく,dasaku,N1
何の,which; what,どの,dono,N1
巻,volume,まき,maki,N1
ずれ,gap; slippage,,zure,N1
次,order; sequence; times; next; below,し,shi,N1
防火,fire prevention; fire fighting; fire proof,ぼうか,bōka,N1
案じる,to be anxious; to ponder,あんじる,anjiru,N1
ショック,shock,,shokku,N1
逆立ち,handstand; headstand,さかだち,sakadachi,N1
隔週,every other week,かくしゅう,kakushū,N1
増強,augment; reinforce; increase,ぞうきょう,zōkyō,N1
ご馳走さま,feast,ごちそうさま,gochisōsama,N1
唱える,to recite; to chant; to call upon,となえる,tonaeru,N1
見すぼらしい,shabby; seedy,みすぼらしい,misuborashii,N1
共学,coeducation,きょうがく,kyōgaku,N1
怠い,sluggish; feel heavy; languid; dull,だるい,darui,N1
資産,property; fortune; means; assets,しさん,shisan,N1
残酷,cruelty; harshness,ざんこく,zankoku,N1
焚火,(open) fire,たきび,takibi,N1
庶務,general affairs,しょむ,shomu,N1
弛む,to slacken; to loosen; to relax,たるむ,tarumu,N1
仕える,to serve; to work for,つかえる,tsukaeru,N1
鍛える,to forge; to drill; to temper; to train; to discipline,きたえる,kitaeru,N1
二人,two persons; two people; pair; couple,ににん,ninin,N1
強烈,strong; intense; severe,きょうれつ,kyōretsu,N1
視野,field of vision; outlook,しや,shiya,N1
名簿,register of names,めいぼ,meibo,N1
共働き,dual income,ともばたらき,tomobataraki,N1
恋愛,love; love-making; passion; emotion; affections,れんあい,ren'ai,N1
増進,promoting; increase; advance,ぞうしん,zōshin,N1
励む,to be zealous; to brace oneself; to endeavour; to strive; to make an effort,はげむ,hagemu,N1
図る,to plot; to attempt; to plan; to take in; to deceive; to devise; to design; to refer A to B,はかる,hakaru,N1
世論,public opinion,せろん,seron,N1
弟,younger brother,おと,oto,N1
申し込み,application; entry; request; subscription; offer; proposal; overture; challenge,もうしこみ,mōshikomi,N1
些事,something small or petty; trifle,さじ,saji,N1
割り算,division (math),わりざん,warizan,N1
暫く,little while,しばらく,shibaraku,N1
営む,to carry on (e.g. in ceremony); to run a business,いとなむ,itonamu,N1
築く,to build; to pile up; to amass,きずく,kizuku,N1
頻繁,frequency,ひんぱん,hinpan,N1
左様なら,good-bye,さようなら,sayōnara,N1
腕前,ability; skill; facility,うでまえ,udemae,N1
夜行,walking around at night; night train; night travel,やぎょう,yagyō,N1
戦術,tactics,せんじゅつ,senjutsu,N1
突っ張る,to support; to become stiff; to become taut; to thrust (ones opponent); to stick to (ones opinion); to in,つっぱる,tsupparu,N1
一変,complete change; about-face,いっぺん,ippen,N1
サイクル,cycle,,saikuru,N1
覆面,mask; veil; disguise,ふくめん,fukumen,N1
抑制,suppression,よくせい,yokusei,N1
回路,circuit (electric),かいろ,kairo,N1
フェリー,ferry,,ferī,N1
帳,curtain,とばり,tobari,N1
版画,art print,はんが,hanga,N1
彼方,1.  there; yonder; that,あちら,achira,N1
傷,wound; injury; hurt; cut; gash; bruise; scratch; scar; weak point,しょう,shō,N1
協議,conference; consultation; discussion; negotiation,きょうぎ,kyōgi,N1
ガイドブック,guidebook,,gaidobukku,N1
精巧,elaborate; delicate; exquisite,せいこう,seikō,N1
辟易,wince; shrink back; succumbing to; being frightened; disconcerted,へきえき,hekieki,N1
観点,point of view,かんてん,kanten,N1
態々,expressly; specially; doing something especially rather than incidentally,わざわざ,wazawaza,N1
承諾,consent; acquiescence; agreement,しょうだく,shōdaku,N1
保険,insurance; guarantee,ほけん,hoken,N1
進み,progress,すすみ,susumi,N1
好意,good will; favor; courtesy,こうい,kōi,N1
無闇に,unreasonably; absurdly; recklessly; indiscreetly; at random,むやみに,muyamini,N1
ショー,show,,shō,N1
数詞,numeral,すうし,sūshi,N1
廃棄,annullment; disposal; abandon; scrap; discarding; repeal,はいき,haiki,N1
領域,area; domain; territory; field; region; regime,りょういき,ryōiki,N1
ぶらぶら,dangle heavily; swing; sway to and fro; aimlessly; idly; lazily; loiter; loaf; be idle; stroll idly,,burabura,N1
教習,training; instruction,きょうしゅう,kyōshū,N1
有様,state; condition; circumstances; the way things are or should be; truth,ありさま,arisama,N1
レクリエーション,recreation,,rekuriēshon,N1
オープン,open,,ōpun,N1
厭々,unwillingly; grudgingly; shaking head in refusal (to children),いやいや,iyaiya,N1
カクテル,cocktail,,kakuteru,N1
教職,teaching certificate; the teaching profession,きょうしょく,kyōshoku,N1
記載,mention; entry,きさい,kisai,N1
決断,decision; determination,けつだん,ketsudan,N1
凡ゆる,all; every,あらゆる,arayuru,N1
当て,object; aim; end; hopes; expectations,あて,ate,N1
アラブ,Arab,,arabu,N1
明かす,to pass; spend; to reveal; to divulge,あかす,akasu,N1
科,department; section,か,ka,N1
篭る,to seclude oneself; to be confined in; to be implied; to be stuffy,こもる,komoru,N1
土手,embankment; bank,どて,dote,N1
合わせ,joint together; opposite; facing,あわせ,awase,N1
適性,aptitude,てきせい,tekisei,N1
確保,guarantee; ensure; maintain; insure; secure,かくほ,kakuho,N1
悪戯,tease; prank; trick; practical joke; mischief,いたずら,itazura,N1
耕作,cultivation; farming,こうさく,kōsaku,N1
色々,various,いろいろ,iroiro,N1
権力,power; authority; influence,けんりょく,kenryoku,N1
いっそ,rather; sooner; might as well,,isso,N1
極端,extreme; extremity,きょくたん,kyokutan,N1
無邪気,innocence; simple-mindedness,むじゃき,mujaki,N1
無念,chagrin; regret,むねん,munen,N1
延いては,not only...but also; in addition to; consequently,ひいては,hiiteha,N1
動揺,disturbance; unrest; shaking; trembling; pitching; rolling; oscillation; agitation; excitement; commotion,どうよう,dōyō,N1
指差す,to point at,ゆびさす,yubisasu,N1
運命,fate,うんめい,unmei,N1
なんか,things like ...; or something like that .. (often derogatory),,nanka,N1
柔軟,flexible; lithe,じゅうなん,jūnan,N1
結合,combination; union,けつごう,ketsugō,N1
決勝,decision of a contest; finals (in sports),けっしょう,kesshō,N1
尽くす,to exhaust; to run out; to serve (a person); to befriend,つくす,tsukusu,N1
著書,literary work; book,ちょしょ,chosho,N1
原作,original work,げんさく,gensaku,N1
疲労,fatigue; weariness,ひろう,hirō,N1
無難,safety; security,ぶなん,bunan,N1
忽ち,at once; in a moment; suddenly; all at once,たちまち,tachimachi,N1
身なり,personal appearance,みなり,minari,N1
タイミング,timing,,taimingu,N1
挑戦,challenge; defiance,ちょうせん,chōsen,N1
脂肪,fat; grease; blubber,しぼう,shibō,N1
自転,rotation; spin,じてん,jiten,N1
仏像,Buddhist image (statue),ぶつぞう,butsuzō,N1
文化財,cultural assets; cultural property,ぶんかざい,bunkazai,N1
その外,besides; in addition; the rest,そのほか,sonohoka,N1
アワー,hour,,awā,N1
転勤,transfer; transmission,てんきん,tenkin,N1
圏,sphere; circle; range,けん,ken,N1
化石,fossil; petrifaction; fossilization,かせき,kaseki,N1
容易い,easy; simple; light,たやすい,tayasui,N1
日頃,normally; habitually,ひごろ,higoro,N1
読者,reader,どくしゃ,dokusha,N1
血管,blood vessel,けっかん,kekkan,N1
悪化,deterioration; growing worse; aggravation; degeneration; corruption,あっか,akka,N1
然も,with gusto; with satisfaction,さも,samo,N1
読み上げる,to read out loud (and clearly); to call a roll,よみあげる,yomiageru,N1
核,nucleus; kernel,かく,kaku,N1
奇数,odd number,きすう,kisū,N1
武装,arms; armament; armed,ぶそう,busō,N1
記名,signature; register,きめい,kimei,N1
丸っきり,completely; perfectly; just as if,まるっきり,marukkiri,N1
把握,grasp; catch; understanding,はあく,haaku,N1
織物,textile; fabric,おりもの,orimono,N1
当てはまる,to apply (a rule),あてはまる,atehamaru,N1
養護,protection; nursing; protective care,ようご,yōgo,N1
出来物,able man; tumour; growth; boil; ulcer; abcess; rash; pimple,できもの,dekimono,N1
出入り口,exit and entrance,でいりぐち,deiriguchi,N1
概念,general idea; concept; notion,がいねん,gainen,N1
一帯,a region; a zone; the whole place,いったい,ittai,N1
宿命,fate; destiny; predestination,しゅくめい,shukumei,N1
社交,social life; social intercourse,しゃこう,shakō,N1
禁ずる,to forbid; to suppress,きんずる,kinzuru,N1
不順,irregularity; unseasonableness,ふじゅん,fujun,N1
勝利,victory; triumph; conquest; success; win,しょうり,shōri,N1
杯,wine cups,さかずき,sakazuki,N1
運搬,transport; carriage,うんぱん,unpan,N1
手錠,handcuffs; manacles,てじょう,tejō,N1
雨具,rain gear,あまぐ,amagu,N1
教え,teachings; precept; lesson; doctrine,おしえ,oshie,N1
河川,rivers,かせん,kasen,N1
流行,fashionable; fad; in vogue; prevailing,はやり,hayari,N1
この間,the other day; lately; recently,このあいだ,konoaida,N1
均衡,equilibrium; balance,きんこう,kinkō,N1
刃,edge (of a sword),は,ha,N1
馬鹿らしい,absurd,ばからしい,bakarashii,N1
隠居,retirement; retired person,いんきょ,inkyo,N1
ちやほや,pamper; make a fuss of; spoil,,chiyahoya,N1
其方,over there; the other,そちら,sochira,N1
殆ど,mostly; almost,ほとんど,hotondo,N1
就業,employment; starting work,しゅうぎょう,shūgyō,N1
手掛ける,to handle; to manage; to work with; to rear; to look after; to have experience with,てがける,tegakeru,N1
だぶだぶ,loose; baggy,,dabudabu,N1
悲観,pessimism; disappointment,ひかん,hikan,N1
告げる,to inform,つげる,tsugeru,N1
証言,evidence; testimony,しょうげん,shōgen,N1
共稼ぎ,working together; (husband and wife) earning a living together,ともかせぎ,tomokasegi,N1
担う,to carry on shoulder; to bear (burden); to shoulder (gun),になう,ninau,N1
危機,crisis,きき,kiki,N1
音色,tone color; tone quality; timbre; synthesizer patch,おんいろ,on'iro,N1
ゲスト,guest,,gesuto,N1
兼用,multi-use; combined use; combination; serving two purposes,けんよう,ken'yō,N1
捧げる,to lift up; to give; to offer; to consecrate; to devote; to sacrifice; to dedicate,ささげる,sasageru,N1
にも拘らず,in spite of; nevertheless,にもかかわらず,nimokakawarazu,N1
官僚,bureaucrat; bureaucracy,かんりょう,kanryō,N1
振り出し,outset; starting point; drawing or issuing (draft),ふりだし,furidashi,N1
監視,observation; guarding; inspection; surveillance,かんし,kanshi,N1
誠実,sincere; honest; faithful,せいじつ,seijitsu,N1
逞しい,burly; strong; sturdy,たくましい,takumashii,N1
室,room,しつ,shitsu,N1
即する,to conform to; to agree with; to be adapted to; to be based on,そくする,sokusuru,N1
きちっと,exactly; perfectly,,kichitto,N1
定義,definition,ていぎ,teigi,N1
剥ぐ,to tear off; to peel off; to rip off; to strip off; to skin; to flay; to disrobe; to deprive of,はぐ,hagu,N1
根底,root; basis; foundation,こんてい,kontei,N1
不審,incomplete understanding; doubt; question; distrust; suspicion; strangeness; infidelity,ふしん,fushin,N1
何も,nothing,なにも,nanimo,N1
浮気,flighty; fickle; wanton; unfaithful,うわき,uwaki,N1
持ち,1.  hold; charge; keep possession; in charge; 2.  wear; durability; life; draw; 3.  usage (suff),もち,mochi,N1
籤引,lottery; drawn lot,くじびき,kujibiki,N1
面白い,interesting; amusing,おもしろい,omoshiroi,N1
受身,passive; passive voice,うけみ,ukemi,N1
萎びる,to wilt; to fade,しなびる,shinabiru,N1
タワー,tower,,tawā,N1
炒める,to stir-fry,いためる,itameru,N1
騙す,to trick; to cheat; to deceive,だます,damasu,N1
西日,westering sun,にしび,nishibi,N1
